Age,Male,Female,Male,Female
 0-4,43.767297,38.019042,87.698448,75.765281
 5-9,43.931151,37.746239,,
19-Oct,41.325927,35.485829,81.201113,70.221836
15-19,39.875186,34.736007,,
20-24,46.340826,41.133791,108.591332,97.808065
25-29,62.250506,56.674274,,
30-34,62.012776,57.996069,109.529875,103.170383
35-39,47.517099,45.174314,,
40-44,52.894825,50.298115,115.962497,111.034173
45-49,63.067672,60.736058,,
50-54,58.167065,56.62386,102.709733,99.718611
55-59,44.542668,43.094751,,
60-64,38.219982,37.63574,70.6369,70.482963
65-69,32.416918,32.847223,,
70-74,18.750006,19.686835,30.673874,32.613559
75-79,11.923868,12.926724,,
80-84,7.14405,8.586444,10.196871,12.846707
85-89,3.052821,4.260263,,
 90+,1.040186,1.784086,1.040186,1.784086
